code,title,credits,department,instructorId,semester,classroomNo
ME491,Concepts of Linear Algebra,5,Mechanical Engineering,1152,SPRING,ACH334
ENG492,Fundamentals of Data Mining,4,English,1144,FALL,CR781
ME493,Machine Learning with Operating Systems,2,Mechanical Engineering,1272,SUMMER,LR905
PHIL494,Modern Ethics,5,Philosophy,1052,SUMMER,LR074
DS495,Fundamentals of Database Systems,4,Data Science,1102,WINTER,CR211
ECON496,Machine Learning with Organic Chemistry,2,Economics,1194,SUMMER,CR534
ME497,Advanced Networks,3,Mechanical Engineering,1132,SPRING,CR611
ME498,Principles of Quantum Physics,2,Mechanical Engineering,1244,WINTER,CR914
PSY499,Theory of Macroeconomics,4,Psychology,1196,SPRING,CR139
STAT500,Advanced Macroeconomics,5,Statistics,1285,SUMMER,ACH685
BIO501,Concepts of Cyber Security,5,Biology,1210,FALL,CR531
MATH502,Theory of Quantum Physics,4,Mathematics,1203,SPRING,LR369
MATH503,Machine Learning with Ethics,5,Mathematics,1137,SUMMER,CR492
SOC504,Fundamentals of Ethics,3,Sociology,1021,FALL,CR190
PSY505,Data Structures in Cloud Computing,5,Psychology,1089,SPRING,LR555
MATH506,Machine Learning with Thermodynamics,2,Mathematics,1102,SUMMER,CR736
CHEM507,Introduction to Artificial Intelligence,4,Chemistry,1290,SUMMER,CR432
PHY508,Programming in Networks,4,Physics,1002,SUMMER,CR401
DS509,Concepts of Ethics,2,Data Science,1252,SUMMER,CR888
POLI510,Theory of Linear Algebra,3,Political Science,1056,SUMMER,LR564
CYB511,Machine Learning with Organic Chemistry,4,Cyber Security,1241,SPRING,CR666
CHEM512,Principles of Cyber Security,5,Chemistry,1113,FALL,CR555
PHIL513,Principles of Microeconomics,2,Philosophy,1139,SUMMER,CR065
ECON514,Modern Digital Forensics,3,Economics,1268,SPRING,CR448
CE515,Concepts of Microeconomics,2,Civil Engineering,1095,SUMMER,LR190
POLI516,Advanced Statistics,2,Political Science,1012,FALL,CR549
CE517,Data Structures in Algorithms,5,Civil Engineering,1257,SUMMER,ACH626
CE518,Advanced Artificial Intelligence,2,Civil Engineering,1231,FALL,CR306
PHIL519,Programming in Cyber Security,3,Philosophy,1044,SUMMER,ACH445
CHEM520,Advanced Organic Chemistry,4,Chemistry,1135,WINTER,CR268
CE521,Analytics using Macroeconomics,4,Civil Engineering,1265,WINTER,CR505
POLI522,Modern Digital Forensics,2,Political Science,1098,FALL,CR574
SOC523,Analytics using Microeconomics,5,Sociology,1162,SPRING,CR722
POLI524,Machine Learning with Cyber Security,2,Political Science,1061,SUMMER,CR321
ECE525,Fundamentals of Operating Systems,4,Electronics,1048,WINTER,CR942
CS526,Fundamentals of Data Mining,5,Computer Science,1218,FALL,CR217
HIST527,Analytics using Database Systems,3,History,1050,WINTER,CR414
CHEM528,Applied Software Engineering,5,Chemistry,1186,SUMMER,ACH598
POLI529,Machine Learning with Macroeconomics,4,Political Science,1002,WINTER,ACH914
ECE530,Applied Organic Chemistry,3,Electronics,1236,SPRING,CR740
PSY531,Analytics using Microeconomics,2,Psychology,1229,WINTER,CR822
ME532,Data Structures in Macroeconomics,4,Mechanical Engineering,1127,SPRING,CR432
CS533,Theory of Operating Systems,5,Computer Science,1213,SUMMER,LR695
PSY534,Applied IoT,3,Psychology,1099,FALL,CR078
CE535,Applied Database Systems,4,Civil Engineering,1254,SPRING,CR040
ME536,Introduction to Linear Algebra,4,Mechanical Engineering,1076,SPRING,CR894
MATH537,Theory of Organic Chemistry,2,Mathematics,1277,WINTER,ACH011
CYB538,Machine Learning with Algorithms,2,Cyber Security,1011,FALL,CR565
BIO539,Modern Organic Chemistry,3,Biology,1205,SPRING,CR125
POLI540,Principles of Linear Algebra,5,Political Science,1019,SPRING,CR348
SOC541,Fundamentals of Artificial Intelligence,5,Sociology,1281,FALL,CR216
PHIL542,Machine Learning with Ethics,5,Philosophy,1122,WINTER,CR501
CHEM543,Applied Organic Chemistry,4,Chemistry,1079,SUMMER,CR953
ECE544,Machine Learning with Microeconomics,3,Electronics,1036,SUMMER,LR490
POLI545,Principles of Psychology,3,Political Science,1121,FALL,CR602
SOC546,Advanced Organic Chemistry,5,Sociology,1023,SUMMER,LR588
DS547,Concepts of Networks,3,Data Science,1269,WINTER,CR180
ENG548,Programming in Macroeconomics,5,English,1228,FALL,CR200
ECE549,Theory of Psychology,5,Electronics,1023,WINTER,CR891
CS550,Programming in Algorithms,5,Computer Science,1061,SPRING,ACH277
BIO551,Data Structures in Organic Chemistry,3,Biology,1111,FALL,CR533
BIO552,Data Structures in Software Engineering,4,Biology,1129,SPRING,LR291
DS553,Principles of Ethics,2,Data Science,1202,WINTER,CR723
PSY554,Theory of Artificial Intelligence,2,Psychology,1151,SPRING,CR503
POLI555,Machine Learning with Networks,4,Political Science,1077,SPRING,CR451
SOC556,Data Structures in Cloud Computing,4,Sociology,1196,SPRING,LR307
CHEM557,Analytics using Data Mining,2,Chemistry,1203,SUMMER,CR501
PSY558,Principles of Software Engineering,5,Psychology,1055,SUMMER,CR936
PHIL559,Machine Learning with Operating Systems,4,Philosophy,1124,FALL,CR209
CS560,Theory of IoT,3,Computer Science,1286,SPRING,LR285
PHY561,Introduction to Operating Systems,2,Physics,1161,SPRING,ACH996
PHIL562,Fundamentals of Networks,5,Philosophy,1079,SPRING,CR669
PSY563,Theory of Ethics,2,Psychology,1164,SPRING,LR624
SOC564,Concepts of Cloud Computing,3,Sociology,1036,SUMMER,LR358
STAT565,Applied IoT,5,Statistics,1152,SPRING,CR465
ECE566,Principles of Algorithms,3,Electronics,1145,SUMMER,CR219
PHIL567,Principles of Cyber Security,3,Philosophy,1219,WINTER,CR218
CE568,Applied Organic Chemistry,2,Civil Engineering,1223,WINTER,LR007
CYB569,Machine Learning with Quantum Physics,5,Cyber Security,1176,WINTER,ACH201
CHEM570,Theory of Psychology,5,Chemistry,1113,SUMMER,LR238
CS571,Applied Digital Forensics,2,Computer Science,1202,WINTER,CR441
CS572,Data Structures in Organic Chemistry,2,Computer Science,1175,WINTER,LR467
MATH573,Modern Operating Systems,5,Mathematics,1125,WINTER,LR092
POLI574,Introduction to Statistics,4,Political Science,1098,SUMMER,ACH387
CYB575,Analytics using Cyber Security,5,Cyber Security,1130,SPRING,ACH624
ECON576,Machine Learning with Operating Systems,4,Economics,1046,FALL,CR235
ME577,Analytics using Operating Systems,4,Mechanical Engineering,1289,FALL,CR068
DS578,Advanced Cloud Computing,5,Data Science,1056,WINTER,ACH718
ECON579,Data Structures in Cyber Security,4,Economics,1082,SUMMER,LR131
ENG580,Data Structures in Data Mining,4,English,1134,WINTER,ACH549
PHY581,Introduction to Algorithms,3,Physics,1097,SUMMER,CR242
CHEM582,Machine Learning with Networks,5,Chemistry,1208,WINTER,LR630
ENG583,Fundamentals of Thermodynamics,2,English,1133,SUMMER,ACH229
DS584,Concepts of Database Systems,2,Data Science,1261,FALL,CR873
CHEM585,Introduction to Database Systems,5,Chemistry,1143,FALL,CR587
CS586,Principles of Microeconomics,2,Computer Science,1223,WINTER,LR754
DS587,Principles of Data Mining,3,Data Science,1040,SUMMER,CR746
POLI588,Theory of Digital Forensics,4,Political Science,1135,SUMMER,ACH953
HIST589,Analytics using Statistics,5,History,1064,SUMMER,ACH840
PHY590,Data Structures in Algorithms,2,Physics,1008,SUMMER,LR211
MATH591,Principles of Algorithms,4,Mathematics,1220,WINTER,CR148
STAT592,Advanced Microeconomics,3,Statistics,1242,WINTER,CR251
HIST593,Fundamentals of Data Mining,5,History,1112,FALL,CR630
CYB594,Data Structures in Software Engineering,3,Cyber Security,1238,SPRING,CR530
ME595,Concepts of Ethics,2,Mechanical Engineering,1276,SPRING,CR923
BIO596,Programming in Organic Chemistry,2,Biology,1007,SPRING,ACH787
CE597,Fundamentals of Artificial Intelligence,4,Civil Engineering,1052,SPRING,CR133
PHIL598,Applied Quantum Physics,5,Philosophy,1165,FALL,LR925
PHY599,Principles of Organic Chemistry,2,Physics,1171,SUMMER,CR005
